,0,1,2,3,4
0,4.043751925,-0.650570577,-0.767517239,0.409784832,-1.745526632
1,2.82737904,5.769599754,-1.271459829,1.380901078,-0.096549346
2,3.219885354,4.675853607,0.322376293,1.128575146,-0.986415942
3,4.290034348,4.607636735,1.867123995,-0.205201644,2.204755909
4,1.890982528,3.175527004,2.248435442,2.244701868,-1.200947264
5,3.652106753,0.63351678,-1.99470955,0.265802652,0.09208075
6,0.009804401,0.01781594,2.153281247,1.105733593,-1.761568889
7,1.63570592,2.286317888,3.813715586,0.662755109,-0.844871361
8,1.346717158,1.836585482,2.043184438,-1.602478148,-0.877567933
9,3.461848476,4.474567033,-0.070589295,0.674728596,-0.942252203
10,0.675059196,2.683918376,0.771218833,-1.243944427,-0.042891973
11,1.434470046,2.431864136,-0.84028611,0.080179997,-0.615788873
12,1.171458583,3.108945404,-0.783239321,-0.085886665,-0.434617516
13,3.003114183,4.844609826,-0.51513011,0.427334288,-0.199293199
14,1.168581153,0.86516781,1.618675045,-0.66807032,-0.172940286
15,0.692305732,1.574487916,-0.005874541,-1.392155721,-1.465545305
16,-0.061882841,1.844148356,0.913405351,-1.625561823,0.283963843
17,3.34824882,3.894471813,1.363219528,-0.408351123,-0.665826753
18,3.371114688,3.660274547,0.177676305,-1.760400507,0.214062763
19,0.923791077,0.481378821,0.144758916,-1.363224879,-0.900165449
20,4.230336685,3.697396812,2.582013933,-0.972453238,5.112873834
21,1.270762459,2.836447297,0.722958487,-1.751270074,-1.088052568
22,3.980859615,3.609494649,0.253103894,0.417408796,-0.593918727
23,3.672146146,4.551809457,-0.184105172,2.281473535,1.272172389
24,-0.754909944,0.828624697,2.404860331,1.036143052,-1.099204572
25,2.586029872,3.337334312,-0.520396829,1.893422138,0.639144848
26,2.091597718,3.445277421,1.31710576,2.040610491,0.087740412
27,2.080146502,2.20537471,1.03690248,0.068434758,0.597484646
28,-0.151272775,2.898161122,1.738696312,-1.441855061,-0.699057816
29,1.46056716,3.181109522,2.869734054,-0.669973005,0.496645912
30,1.582525335,1.173442354,1.66269213,-1.232513185,-0.495934898
31,0.822799118,1.762411167,2.530857231,-1.893528942,-0.922228403
32,2.419418999,1.949959571,-0.922701859,0.256451129,-1.29645744
33,1.78781698,1.357189315,1.271677707,-1.156337996,-0.348421456
34,1.511070078,2.778152879,2.667297132,0.656233118,-1.901823424
35,0.982548742,2.238600259,0.487287914,0.029948749,-1.617701658
36,0.809833648,2.574591455,2.233277055,-0.791830203,-1.669984038
37,2.71514196,0.477858808,-0.849381591,0.45647214,-2.154116725
38,1.852326049,3.477382448,0.480556994,-1.508419733,-1.376699056
39,0.807460754,-0.265698904,0.066478225,-1.099707685,0.139818898
40,3.127539751,2.642488521,-0.887130723,0.064633268,2.055950338
41,3.413364833,2.447651853,2.623975205,-2.11548086,1.220367929
42,2.663555233,1.139411599,4.255982727,-3.360074345,2.423704015
43,0.94232442,1.861960791,0.848498518,-1.109714104,-0.912073531
44,0.964078712,2.740973818,1.107749745,-1.511168293,-0.846310918
45,2.552763149,3.048566112,0.262472504,-1.121211309,-1.542165334
46,0.465884705,1.268466166,1.264985319,-0.092936847,-1.491953527
