,0,1,2,3,4,5,6,7,8,9
0,4.043741315,-0.64955221,-0.754908754,0.369910048,-1.732062442,-1.628465659,0.597415775,-1.647252562,0.340403121,-0.315811687
1,2.827544274,5.766719606,-1.268927864,1.360802574,-0.039043318,0.770287127,0.593049926,-0.4007713,-0.834543187,-1.25960944
2,3.219925241,4.669015668,0.345641858,1.107219636,-0.893647142,-1.077547381,0.535984505,0.286730705,-1.630833757,-2.880307862
3,4.290124082,4.606057909,1.828217621,-0.183129171,2.196912463,-1.834909859,1.513371527,-2.37106596,-0.486399187,-0.211562223
4,1.891088092,3.177477513,2.246633156,2.300496037,-1.128115104,-1.112447128,-2.651340655,-0.816091964,-0.388410299,-0.171749616
5,3.652132017,0.62987591,-2.088916348,0.335621367,0.131065045,3.116404093,1.136760687,1.844414115,-0.40444111,-0.052420828
6,0.009822981,0.023077547,2.167836055,1.110001637,-1.701470759,-1.044836205,0.436507545,-1.749764334,-0.801366783,0.642951989
7,1.635644733,2.295887541,3.77445652,0.698175987,-0.858164248,-1.694913319,-0.796276881,-2.208766334,-1.935709152,0.37253045
8,1.346731637,1.816596362,2.112555446,-1.537430315,-0.816117748,-1.009205309,-1.325312641,-0.614886787,-1.351349012,-2.043503939
9,3.461736854,4.474432303,-0.074852568,0.68575416,-0.955872299,0.207083999,1.815176783,0.347138365,-0.000421464,-1.772566823
10,0.674999933,2.687804439,0.765506091,-1.22474024,-0.05371152,-1.15384127,-1.125068398,-0.133773717,-0.901197676,-0.04599903
11,1.434459484,2.438584623,-0.830297527,0.08769897,-0.675947137,0.327723616,-0.810755287,0.91743295,0.127133626,-1.320059604
12,1.171341056,3.118094958,-0.838482867,-0.09688615,-0.490883602,0.313698012,-0.737984201,-0.328509849,0.528101933,0.084383832
13,3.003182811,4.838952148,-0.536782099,0.470436135,-0.12523641,0.329915745,1.375053936,0.441941624,-0.759773154,-0.586475672
14,1.168551101,0.866851694,1.662106768,-0.680783663,-0.24463498,-0.421483282,0.917049566,-1.281607187,-2.456115331,1.557416584
15,0.692339395,1.576421618,0.04508623,-1.40241537,-1.455836387,-0.418126166,-0.940394548,-0.596069949,-0.61026591,-0.102199562
16,-0.061936008,1.839240141,0.897152524,-1.660564273,0.332688902,-0.806321093,-0.974333708,-0.267324084,1.571164582,0.124164297
17,3.348249215,3.89679519,1.328407598,-0.32367566,-0.742646405,0.902478046,-0.325047329,-0.372982588,-1.113441049,-0.128403561
18,3.371014969,3.649055932,0.113787188,-1.681316946,0.227265072,0.472582157,-1.633951372,-1.482479075,0.093376372,0.346632808
19,0.923802643,0.480683925,0.192272077,-1.364467012,-0.883393449,0.122018504,-1.263725224,0.159193413,-1.146302315,-0.383628737
